episode,total_reward,score,steps,epsilon
0,-14.394027175903325,0,582,0.998
1,-10.488536071777347,0,201,0.996004
2,-9.155048828125002,0,34,0.994011992
3,-9.596827697753909,0,96,0.992023968016
4,-10.575770568847663,0,171,0.990039920079968
5,-10.32987091064453,0,199,0.9880598402398081
6,-9.769375915527345,0,103,0.9860837205593285
7,-9.271129379272459,0,100,0.9841115531182099
8,-10.61636581420899,0,150,0.9821433300119734
9,-9.447901916503906,0,74,0.9801790433519495
10,-9.019192962646486,0,23,0.9782186852652456
11,-9.59021392822266,0,75,0.976262247894715
12,-11.457888336181647,0,278,0.9743097233989256
13,-9.13923583984375,0,32,0.9723611039521278
14,-9.996386413574225,0,103,0.9704163817442236
15,-9.677284851074221,0,59,0.9684755489807352
16,-10.0,0,1,0.9665385978827737
17,-12.877261428833013,0,429,0.9646055206870082
18,-9.135854110717771,0,63,0.9626763096456342
19,-10.6910026550293,0,154,0.9607509570263429
20,-8.944457244873046,0,26,0.9588294551122902
21,-17.79031356811524,0,866,0.9569117962020657
22,-9.379622192382813,0,65,0.9549979726096616
23,-8.569436950683597,2,1000,0.9530879766644422
24,-12.808270568847666,0,677,0.9511818007111134
25,-10.745880737304693,0,169,0.9492794371096911
26,-10.899935607910162,0,127,0.9473808782354717
27,-11.310727233886722,0,208,0.9454861164790007
28,-11.30655151367188,0,209,0.9435951442460427
29,-9.675538635253908,0,63,0.9417079539575507
30,-11.45219848632813,0,242,0.9398245380496356
31,-10.511723937988286,0,107,0.9379448889735363
32,-10.38528961181641,0,141,0.9360689991955893
33,-13.490874023437508,0,381,0.9341968611971981
34,-9.97703552246094,0,72,0.9323284674748037
35,-9.494798889160156,0,59,0.930463810539854
36,-9.56456787109375,0,28,0.9286028829187744
37,-9.934605102539065,0,53,0.9267456771529368
38,-9.107292480468752,0,20,0.9248921857986309
39,-9.651633605957029,0,59,0.9230424014270336
40,-9.818414611816408,0,68,0.9211963166241796
41,-10.707194824218751,0,170,0.9193539239909312
42,-10.108276824951188,0,365,0.9175152161429493
43,-9.948605041503908,0,66,0.9156801857106633
44,-7.837854156494147,0,188,0.913848825339242
45,-12.048214721679695,0,217,0.9120211276885636
46,-9.664163513183595,0,56,0.9101970854331864
47,-9.628039550781251,0,46,0.9083766912623201
48,-8.047403106689453,0,152,0.9065599378797955
49,-12.734175720214845,0,353,0.9047468180040359
50,-9.153125,0,24,0.9029373243680279
51,-11.37193939208985,0,248,0.9011314497192918
52,-9.420619201660156,0,34,0.8993291868198532
53,-10.824960327148437,0,102,0.8975305284462135
54,-9.453038330078124,0,35,0.8957354673893211
55,-14.500114135742209,0,469,0.8939439964545425
56,-11.086078186035163,0,442,0.8921561084616334
57,-11.223693237304694,0,213,0.8903717962447101
58,-9.929834289550783,0,68,0.8885910526522206
59,-11.017621154785159,0,176,0.8868138705469162
60,-11.019925537109383,0,213,0.8850402428058224
61,-9.920184020996093,0,98,0.8832701623202107
62,-9.193499145507813,0,24,0.8815036219955703
63,-12.052906799316418,0,292,0.8797406147515792
64,-10.19281005859375,0,50,0.877981133522076
65,-8.104842834472663,0,215,0.8762251712550319
66,-10.234142150878911,0,94,0.8744727209125218
67,-9.480012207031251,0,52,0.8727237754706968
68,-9.501813964843752,0,61,0.8709783279197554
69,-10.016906127929692,0,97,0.8692363712639158
70,-9.540000305175782,0,58,0.867497898521388
71,-12.688869628906257,0,290,0.8657629027243453
72,-10.0,0,1,0.8640313769188966
73,-9.782391052246096,0,65,0.8623033141650589
