episode,total_reward,score,steps,epsilon
0,-13.169999999999977,0,318,0.995
1,-10.25,0,26,0.990025
2,-10.42,0,43,0.985074875
3,-9.520000000000001,2,153,0.9801495006250001
4,-10.0,0,1,0.9752487531218751
5,-10.98,0,99,0.9703725093562657
6,-10.32,0,33,0.9655206468094844
7,-11.700000000000001,0,171,0.960693043575437
8,-13.00999999999998,0,302,0.9558895783575597
9,-12.919999999999982,0,293,0.9511101304657719
10,-11.0,0,101,0.946354579813443
11,-14.999999999999938,0,501,0.9416228069143757
12,-13.619999999999967,0,363,0.9369146928798039
13,-10.17,0,18,0.9322301194154049
14,-12.040000000000001,0,205,0.9275689688183278
15,-10.72,0,73,0.9229311239742362
16,-10.9,0,91,0.918316468354365
17,-13.179999999999977,0,319,0.9137248860125932
18,-15.299999999999931,0,531,0.9091562615825302
19,-10.26,0,27,0.9046104802746175
20,-12.409999999999993,0,242,0.9000874278732445
21,-11.96,0,197,0.8955869907338783
22,-15.659999999999924,0,567,0.8911090557802088
23,-11.650000000000002,0,166,0.8866535105013078
24,-11.360000000000001,0,137,0.8822202429488013
25,-11.280000000000001,0,129,0.8778091417340573
26,-10.97,0,98,0.8734200960253871
27,-10.690000000000001,0,70,0.8690529955452602
28,-11.760000000000002,0,177,0.8647077305675338
29,-10.96,0,97,0.8603841919146962
30,-10.96,0,97,0.8560822709551227
31,-10.620000000000001,0,63,0.851801859600347
32,-12.409999999999993,0,242,0.8475428503023453
33,-11.73,0,174,0.8433051360508336
34,-10.940000000000001,0,95,0.8390886103705794
35,-10.22,0,23,0.8348931673187264
36,-10.88,0,89,0.8307187014821328
37,-13.359999999999973,0,337,0.8265651079747222
38,-10.24,0,25,0.8224322824348486
39,-11.830000000000002,0,184,0.8183201210226743
40,-10.67,0,68,0.8142285204175609
41,-13.93999999999996,0,395,0.810157377815473
42,-10.77,0,78,0.8061065909263957
43,-10.0,0,1,0.8020760579717637
44,-11.340000000000002,0,135,0.798065677681905
45,-11.010000000000002,0,102,0.7940753492934954
46,-10.83,0,84,0.7901049725470279
47,-10.9,0,91,0.7861544476842928
48,-11.41,0,142,0.7822236754458713
49,-10.31,0,32,0.778312557068642
50,-11.690000000000001,0,170,0.7744209942832988
51,-10.56,0,57,0.7705488893118823
52,-11.020000000000001,0,103,0.7666961448653229
53,-10.98,0,99,0.7628626641409962
54,-10.8,0,81,0.7590483508202912
55,-10.96,0,97,0.7552531090661897
56,-11.24,0,125,0.7514768435208588
57,-11.810000000000002,0,182,0.7477194593032545
58,-10.97,0,98,0.7439808620067382
59,-10.56,0,57,0.7402609576967045
60,-10.66,0,67,0.736559652908221
61,-11.040000000000001,0,105,0.7328768546436799
62,-12.719999999999986,0,273,0.7292124703704616
63,-13.729999999999965,0,374,0.7255664080186093
64,-10.91,0,92,0.7219385759785162
65,-10.620000000000001,0,63,0.7183288830986236
66,-10.65,0,66,0.7147372386831305
67,-13.00999999999998,0,302,0.7111635524897149
68,-13.209999999999976,0,322,0.7076077347272662
69,-10.99,0,100,0.7040696960536299
70,-11.200000000000001,0,121,0.7005493475733617
71,-12.379999999999994,0,239,0.697046600835495
72,-10.18,0,19,0.6935613678313175
73,-10.18,0,19,0.6900935609921609
74,-10.58,0,59,0.6866430931872001
